
 Shear/q and Bending Moment/q vs Y
  Configuration: Wing                                                        
  Mach  =    0.441
  alpha =    3.151    CLtot =    0.537
  beta  =    0.000

  Sref  =    61.25000
  Bref  =    28.00000
   
 Surface:   1  
MainWing                                
     2Ymin/Bref =   0.
     2Ymax/Bref =   1.
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
    0.0000  0.266340         0.547748E-01
    0.0357  0.253121         0.501368E-01
    0.1071  0.226904         0.415649E-01
    0.1786  0.201257         0.339191E-01
    0.2500  0.176406         0.271752E-01
    0.3214  0.152529         0.213013E-01
    0.3929  0.129772         0.162602E-01
    0.4643  0.108261         0.120097E-01
    0.5357  0.881019E-01     0.850319E-02
    0.6071  0.693948E-01     0.569075E-02
    0.6786  0.522345E-01     0.351880E-02
    0.7500  0.367224E-01     0.193028E-02
    0.8214  0.229858E-01     0.864063E-03
    0.8929  0.112305E-01     0.253058E-03
    0.9643  0.196047E-02     0.175042E-04
    1.0000   0.00000          0.00000    
   
 Surface:   2  
MainWing (YDUP)                         
     2Ymin/Bref =  -1.
     2Ymax/Bref =   0.
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
    0.0000  0.266340        -0.547748E-01
   -0.0357  0.253121        -0.501367E-01
   -0.1071  0.226904        -0.415649E-01
   -0.1786  0.201257        -0.339191E-01
   -0.2500  0.176406        -0.271752E-01
   -0.3214  0.152529        -0.213013E-01
   -0.3929  0.129772        -0.162602E-01
   -0.4643  0.108261        -0.120097E-01
   -0.5357  0.881019E-01    -0.850319E-02
   -0.6071  0.693948E-01    -0.569075E-02
   -0.6786  0.522345E-01    -0.351880E-02
   -0.7500  0.367224E-01    -0.193028E-02
   -0.8214  0.229858E-01    -0.864063E-03
   -0.8929  0.112305E-01    -0.253058E-03
   -0.9643  0.196048E-02    -0.175042E-04
   -1.0000   0.00000          0.00000    
